estimator,type,estimate,true_hurst,error
dfa,classical,0.10855585536657802,0.7,0.591444144633422
rs,classical,0.7595597034981977,0.7,0.059559703498197725
wavelet,classical,,0.7,
spectral,classical,0.6858435225978601,0.7,0.014156477402139878
higuchi,classical,-1.0611480271351947,0.7,1.7611480271351947
dma,classical,0.05731990120651006,0.7,0.6426800987934899
