estimator,data_model,hurst,length,scenario,estimated_hurst,error,success,execution_time,framework
Adaptive_Higuchi,fgn,0.5,1000,eeg_ocular_artifacts,0.9877656480835522,0.48776564808355216,True,0.019977092742919922,numpy
Adaptive_GPH,fgn,0.5,1000,eeg_ocular_artifacts,0.6329438127577305,0.13294381275773048,True,0.014868497848510742,numpy
Adaptive_Whittle,fgn,0.5,1000,eeg_ocular_artifacts,0.7,0.19999999999999996,True,0.0022978782653808594,numpy
Adaptive_Periodogram,fgn,0.5,1000,eeg_ocular_artifacts,0.48358781076967716,0.016412189230322838,True,0.008176326751708984,numpy
Adaptive_RS,fgn,0.5,1000,eeg_muscle_artifacts,0.5772168530065906,0.07721685300659065,True,0.7835071086883545,numpy
Adaptive_DFA,fgn,0.5,1000,eeg_muscle_artifacts,0.17865398806246774,0.32134601193753226,True,0.051033973693847656,numba
Adaptive_DMA,fgn,0.5,1000,eeg_muscle_artifacts,0.02541709697891576,0.47458290302108425,True,0.003401517868041992,numba
Adaptive_Higuchi,fgn,0.5,1000,eeg_muscle_artifacts,0.9985368089277133,0.49853680892771335,True,0.0173189640045166,numba
Adaptive_GPH,fgn,0.5,1000,eeg_muscle_artifacts,0.5523358657956123,0.052335865795612335,True,0.011019468307495117,numba
Adaptive_Whittle,fgn,0.5,1000,eeg_muscle_artifacts,0.7,0.19999999999999996,True,0.0018875598907470703,numba
Adaptive_Periodogram,fgn,0.5,1000,eeg_muscle_artifacts,0.40316835045814514,0.09683164954185486,True,0.007467031478881836,numba
Adaptive_RS,fgn,0.5,1000,eeg_60hz_noise,0.1690267736107752,0.3309732263892248,True,0.8065271377563477,numba
Adaptive_DFA,fgn,0.5,1000,eeg_60hz_noise,0.008512612769230843,0.4914873872307692,True,0.04722428321838379,numpy
Adaptive_DMA,fgn,0.5,1000,eeg_60hz_noise,0.020755908993670757,0.47924409100632925,True,0.0030820369720458984,numpy
Adaptive_Higuchi,fgn,0.5,1000,eeg_60hz_noise,0.7894755059048848,0.2894755059048848,True,0.017313003540039062,numpy
Adaptive_GPH,fgn,0.5,1000,eeg_60hz_noise,0.8629822880029678,0.36298228800296783,True,0.008505821228027344,numpy
Adaptive_Whittle,fgn,0.5,1000,eeg_60hz_noise,0.7,0.19999999999999996,True,0.0022389888763427734,numpy
Adaptive_Periodogram,fgn,0.5,1000,eeg_60hz_noise,0.7133510261774063,0.2133510261774063,True,0.007066965103149414,numpy
Adaptive_RS,fgn,0.5,1000,eeg_movement_artifacts,0.6015857370028805,0.10158573700288054,True,0.7592029571533203,numpy
Adaptive_DFA,fgn,0.5,1000,eeg_movement_artifacts,0.03754468225431513,0.4624553177456849,True,0.05814313888549805,numpy
Adaptive_DMA,fgn,0.5,1000,eeg_movement_artifacts,0.01671378520992698,0.483286214790073,True,0.003201723098754883,numpy
Adaptive_Higuchi,fgn,0.5,1000,eeg_movement_artifacts,0.9877656480835522,0.48776564808355216,True,0.018717527389526367,numpy
Adaptive_GPH,fgn,0.5,1000,eeg_movement_artifacts,0.6329438127577305,0.13294381275773048,True,0.009424924850463867,numpy
Adaptive_Whittle,fgn,0.5,1000,eeg_movement_artifacts,0.7,0.19999999999999996,True,0.002535104751586914,numpy
Adaptive_Periodogram,fgn,0.5,1000,eeg_movement_artifacts,0.48358781076967716,0.016412189230322838,True,0.007980823516845703,numpy
Adaptive_RS,fbm,0.5,2000,pure,1.0126070875287132,0.5126070875287132,False,2.299832344055176,numpy
Adaptive_DFA,fbm,0.5,2000,pure,0.518754711260424,0.01875471126042405,True,0.09832501411437988,numba
