Data,True_H,Estimator,Estimated_H,Error,Execution_Time,Category
H=0.3,0.3,R/S Analysis,0.1686231343305244,0.1313768656694756,1.8182127475738525,Classical
H=0.3,0.3,DFA,0.02061580843121813,0.27938419156878186,0.008224725723266602,Classical
H=0.3,0.3,DMA,0.015777457109520863,0.2842225428904791,0.0007460117340087891,Classical
H=0.3,0.3,Higuchi,0.0,0.3,0.002141237258911133,Classical
H=0.3,0.3,GPH,0.99,0.69,0.28481221199035645,Classical
H=0.3,0.3,Whittle,0.7,0.39999999999999997,0.0008411407470703125,Classical
H=0.3,0.3,Periodogram,0.99,0.69,0.000823974609375,Classical
H=0.5,0.5,R/S Analysis,0.590728777373612,0.09072877737361196,0.02631855010986328,Classical
H=0.5,0.5,DFA,0.526648294648256,0.02664829464825602,0.006700038909912109,Classical
H=0.5,0.5,DMA,0.6595765637781164,0.15957656377811635,0.0006101131439208984,Classical
H=0.5,0.5,Higuchi,0.5287635183103674,0.028763518310367386,0.0021753311157226562,Classical
H=0.5,0.5,GPH,0.6063636802136898,0.1063636802136898,0.00090789794921875,Classical
H=0.5,0.5,Whittle,0.7,0.19999999999999996,0.0003132820129394531,Classical
H=0.5,0.5,Periodogram,0.4570836126804352,0.04291638731956482,0.0006268024444580078,Classical
H=0.7,0.7,R/S Analysis,0.7817484902238734,0.08174849022387343,0.026413917541503906,Classical
H=0.7,0.7,DFA,0.8117754813828483,0.11177548138284832,0.006663799285888672,Classical
H=0.7,0.7,DMA,0.868539388943727,0.168539388943727,0.000583648681640625,Classical
H=0.7,0.7,Higuchi,0.8072754149015611,0.10727541490156112,0.0021860599517822266,Classical
H=0.7,0.7,GPH,0.8577643036842346,0.15776430368423466,0.0009412765502929688,Classical
H=0.7,0.7,Whittle,0.7,0.0,0.0003483295440673828,Classical
H=0.7,0.7,Periodogram,0.7080249041318893,0.008024904131889388,0.0006296634674072266,Classical
H=0.9,0.9,R/S Analysis,0.8797724376435437,0.020227562356456286,0.025386333465576172,Classical
H=0.9,0.9,DFA,1.0940511215120465,0.1940511215120465,0.006499290466308594,Classical
H=0.9,0.9,DMA,0.9720093411675239,0.07200934116752389,0.0005903244018554688,Classical
H=0.9,0.9,Higuchi,0.9551583765250642,0.05515837652506417,0.0021567344665527344,Classical
H=0.9,0.9,GPH,0.99,0.08999999999999997,0.0009090900421142578,Classical
H=0.9,0.9,Whittle,0.7,0.20000000000000007,0.00028634071350097656,Classical
H=0.9,0.9,Periodogram,0.9558938443660736,0.055893844366073586,0.0005781650543212891,Classical
H=0.3,0.3,Random Forest,0.47509432730894224,0.17509432730894225,0.1972506046295166,ML
H=0.3,0.3,SVR,0.6079985524606071,0.3079985524606071,0.023168087005615234,ML
H=0.3,0.3,Gradient Boosting,0.47418530983278845,0.17418530983278846,0.014107227325439453,ML
H=0.5,0.5,Random Forest,0.4826434095876854,0.017356590412314576,0.024448156356811523,ML
H=0.5,0.5,SVR,0.6079985524692563,0.10799855246925627,0.012677431106567383,ML
H=0.5,0.5,Gradient Boosting,0.5664851153455353,0.06648511534553525,0.012682914733886719,ML
H=0.7,0.7,Random Forest,0.4990733878428585,0.20092661215714147,0.02673482894897461,ML
H=0.7,0.7,SVR,0.6079985524085322,0.09200144759146778,0.01191854476928711,ML
H=0.7,0.7,Gradient Boosting,0.5556503141132945,0.1443496858867055,0.011973381042480469,ML
H=0.9,0.9,Random Forest,0.5054191371823655,0.3945808628176345,0.023290634155273438,ML
H=0.9,0.9,SVR,0.6079985523640503,0.2920014476359497,0.011005401611328125,ML
H=0.9,0.9,Gradient Boosting,0.4044551056636223,0.4955448943363777,0.010797739028930664,ML
H=0.3,0.3,CNN,0.4117859164687848,0.11178591646878483,0.27518439292907715,Neural
H=0.3,0.3,LSTM,0.27080333992400424,0.02919666007599575,0.1664881706237793,Neural
H=0.3,0.3,GRU,0.3243040006409463,0.02430400064094629,0.15274262428283691,Neural
H=0.3,0.3,Transformer,0.3962368169674858,0.09623681696748582,0.14763450622558594,Neural
H=0.5,0.5,CNN,0.5020699767510529,0.0020699767510529155,0.15291619300842285,Neural
H=0.5,0.5,LSTM,0.39144108097174457,0.10855891902825543,0.15280628204345703,Neural
H=0.5,0.5,GRU,0.4110984600112664,0.08890153998873362,0.15233945846557617,Neural
H=0.5,0.5,Transformer,0.4474071258390081,0.0525928741609919,0.14675521850585938,Neural
H=0.7,0.7,CNN,0.6376642658772546,0.0623357341227454,0.15308547019958496,Neural
H=0.7,0.7,LSTM,0.6207972440120414,0.07920275598795856,0.15242719650268555,Neural
H=0.7,0.7,GRU,0.5529456675608068,0.1470543324391932,0.15349221229553223,Neural
H=0.7,0.7,Transformer,0.5703834921824205,0.1296165078175795,0.14736700057983398,Neural
H=0.9,0.9,CNN,0.6959006077965078,0.20409939220349227,0.1601245403289795,Neural
H=0.9,0.9,LSTM,0.7741595494720569,0.12584045052794313,0.14744305610656738,Neural
H=0.9,0.9,GRU,0.6338358480918482,0.2661641519081518,0.1466846466064453,Neural
H=0.9,0.9,Transformer,0.6762058445707317,0.22379415542926828,0.1491413116455078,Neural
